ID;CLASSE;X;Y;banda1;geologia;Solos;banda2;mde;banda3;Flow Direct;banda4;banda5;ndvi;Slope;Aspect;savi;Convergence;Catchment A;Topographic;LS Factor;Channel Net;Vertical Di;Relative Sl;Profile Cur;Plan Curvat
40,0000000000;CX;603997,0000000000;7508100,0000000000;574,0000000000;1,0000000000;7,0000000000;869,0000000000;392,9804077100;1101,0000000000;0,0000000000;1668,0000000000;2145,0000000000;0,3216266036;0,2793772519;179,6400938332;0,1899102628;2,4506893158;1386,4552002000;4,9526638985;3,6689584255;369,7828674300;23,1975402830;0,3925696909;-0,0017091507;0,0060217287
41,0000000000;PV;603845,0000000000;7508017,0000000000;500,0000000000;1,0000000000;7,0000000000;875,0000000000;414,7213134800;1155,0000000000;1,0000000000;1633,0000000000;1961,0000000000;0,2586649656;0,3313214183;179,4260748029;0,1489650011;-1,8461002111;1452,6226807000;4,8177013397;4,5905466080;372,0111084000;42,7102050780;0,7590590119;0,0006976942;-0,0034840389
42,0000000000;CX;603251,0000000000;7508141,0000000000;371,0000000000;1,0000000000;6,0000000000;746,0000000000;362,7227478000;886,0000000000;0,0000000000;1477,0000000000;2188,0000000000;0,4235523641;0,0017456037;173,7168145180;0,2418875247;-49,3390922550;1150818,6250000000;17,1226787570;0,0209078975;362,7227478000;0,0000000000;0,0000000000;0,0000000000;-0,0414335653
43,0000000000;PVA;603454,9600000000;7507243,2300000000;576,0000000000;1,0000000000;7,0000000000;896,0000000000;391,4331970200;1086,0000000000;7,0000000000;1655,0000000000;2065,0000000000;0,3106950223;0,2876203656;174,6102981567;0,1801619232;5,5487236977;2756,0920410000;5,6090302467;4,3671226501;366,5685730000;24,8646240230;0,3834634721;0,0027588464;0,0039539658
44,0000000000;PVA;603433,8900000000;7507265,1900000000;471,0000000000;1,0000000000;7,0000000000;810,0000000000;382,3283996600;1010,0000000000;7,0000000000;1525,0000000000;1805,0000000000;0,2824156284;0,2547401786;174,5707836151;0,1525911689;3,6432211399;2985,8146973000;5,8166422844;3,8044922352;366,0477905300;16,2806091310;0,2467109114;-0,0055372664;-0,0088665569
45,0000000000;PVA;603410,9000000000;7507285,4700000000;510,0000000000;1,0000000000;11,0000000000;832,0000000000;376,5981140100;980,0000000000;7,0000000000;1528,0000000000;1828,0000000000;0,3019942939;0,2084875703;174,3345961571;0,1629098356;0,8099347353;3189,7431641000;6,0904016495;2,9849441051;365,5600585900;11,0380554200;0,1644881666;0,0013407199;-0,0043206187
46,0000000000;PVA;603372,7000000000;7507309,7000000000;450,0000000000;1,0000000000;11,0000000000;830,0000000000;368,3811950700;1020,0000000000;0,0000000000;1491,0000000000;1764,0000000000;0,2672413886;0,2346479893;174,0478091240;0,1433710307;-0,4511146247;3195,6655273000;5,9700946808;3,4732861519;365,0195312500;3,3616638184;0,0488454327;-0,0035152759;-0,0007002734
47,0000000000;GX;603316,0800000000;7507367,1200000000;303,0000000000;1,0000000000;6,0000000000;687,0000000000;364,5277404800;627,0000000000;1,0000000000;1474,0000000000;2569,0000000000;0,6076345444;0,0018895090;178,8220069408;0,3554172814;-61,6988143920;901443,3750000000;16,4526577000;0,0205929205;364,4653320300;0,0624084473;0,0008730265;0,0000000000;0,0000000000
48,0000000000;RY;603265,6900000000;7507384,6800000000;362,0000000000;1,0000000000;6,0000000000;711,0000000000;364,5830993700;741,0000000000;2,0000000000;1395,0000000000;2057,0000000000;0,4703359604;0,0144382445;176,9795968533;0,2531418204;-12,4636716840;65309,7226560000;12,4873161320;0,1968011260;364,4357605000;0,1473388672;0,0020189753;-0,0015592935;0,0037481275
49,0000000000;PVA;603289,1600000000;7507593,2700000000;147,0000000000;1,0000000000;7,0000000000;329,0000000000;377,0061950700;327,0000000000;6,0000000000;731,0000000000;1185,0000000000;0,5674602985;0,1448660940;175,6505050659;0,1976351440;-2,2280502319;2863,5937500000;6,5862827301;1,9155651331;363,8427734400;13,1634216310;0,1820321381;-0,0035983480;-0,0150540052
50,0000000000;PVA;604112,8800000000;7508911,0900000000;220,0000000000;1,0000000000;7,0000000000;344,0000000000;380,5129089400;505,0000000000;0,0000000000;1030,0000000000;1645,0000000000;0,5302325487;0,2237959355;173,7821812630;0,2391608357;11,1268730160;910,3427124000;4,5065340996;2,4159753323;359,9395752000;20,5733337400;0,7539545894;-0,0041105677;0,0174650159
51,0000000000;LVA;603172,7500000000;7508901,1000000000;319,0000000000;3,0000000000;3,0000000000;765,0000000000;380,1188964800;872,0000000000;0,0000000000;1633,0000000000;2151,0000000000;0,4230896533;0,0859933496;179,5637011230;0,2391250283;-1,8192504644;5721,9248047000;7,5725445747;1,0692855120;370,2253112800;9,8935852051;0,3063302636;-0,0030856591;-0,0241503865
52,0000000000;PVA;603880,7900000000;7508674,5900000000;542,0000000000;1,0000000000;6,0000000000;959,0000000000;367,4482116700;1333,0000000000;7,0000000000;1833,0000000000;2150,0000000000;0,2345678955;0,2506137490;174,4096236229;0,1444654018;0,5969873071;6888,6342773000;6,6696901321;4,4044075012;361,1491088900;6,2991027832;0,1690024883;-0,0021015748;0,0034173159
53,0000000000;GX;603797,6500000000;7508517,7200000000;453,0000000000;1,0000000000;6,0000000000;834,0000000000;363,3428039600;1143,0000000000;6,0000000000;1678,0000000000;2054,0000000000;0,2849546373;0,1755986661;175,2721257210;0,1667073518;0,2167456746;2219,2109375000;5,6466937065;2,1153254509;362,1551513700;1,1876525879;0,0255382005;-0,0106424401;0,0155257331
54,0000000000;CY;603740,6900000000;7508536,9600000000;502,0000000000;1,0000000000;6,0000000000;864,0000000000;361,4966430700;1206,0000000000;1,0000000000;1734,0000000000;2087,0000000000;0,2675372064;0,0120673124;173,9377946854;0,1593512595;-13,9941635130;193808,6250000000;13,4078741070;0,1807734072;361,4966430700;0,0000000000;0,0000000000;-0,0010737103;-0,0220234543
55,0000000000;PV;602329,0000000000;7506665,0000000000;426,0000000000;4,0000000000;10,0000000000;921,0000000000;376,8658142100;1372,0000000000;7,0000000000;1709,0000000000;1696,0000000000;0,1056062579;0,0651976541;174,5580158234;0,0602379702;-3,8125963211;3770,1118164000;7,4332413673;0,6868300438;371,4327392600;5,4330749512;0,0698988885;-0,0029386447;-0,0034145140
56,0000000000;PV;603936,3700000000;7508504,0800000000;376,0000000000;1,0000000000;7,0000000000;760,0000000000;401,7193908700;857,0000000000;7,0000000000;1407,0000000000;1965,0000000000;0,3926293552;0,0468555316;174,2363462448;0,2124776542;9,6524124146;868,5992431600;6,2963037491;0,3334443271;362,3460083000;39,3733825680;0,7869153023;0,0002610084;0,0375412032
57,0000000000;CX;603618,7000000000;7508198,1900000000;614,0000000000;1,0000000000;7,0000000000;982,0000000000;425,1156921400;1227,0000000000;7,0000000000;1678,0000000000;1858,0000000000;0,2045380920;0,0847927555;174,2622108459;0,1170686483;19,1884803770;507,4148254400;4,7584757805;0,5963771343;367,7811279300;57,3345642090;1,0000000000;0,0016061695;0,0683496371
58,0000000000;GX;603784,4600000000;7508380,6700000000;155,0000000000;1,0000000000;10,0000000000;362,0000000000;366,9277038600;407,0000000000;6,0000000000;826,0000000000;1125,0000000000;0,4686684012;0,1274819523;174,7954316139;0,1648805887;-20,7967529300;76459,6093750000;10,0003948210;3,1323742867;365,9031982400;1,0245056152;0,0213039648;-0,0015142820;-0,0312646069
59,0000000000;SX;603366,7800000000;7509348,3100000000;577,0000000000;7,0000000000;2,0000000000;856,0000000000;363,9002990700;1033,0000000000;0,0000000000;1579,0000000000;1968,0000000000;0,3115628064;0,0326371230;179,8646596223;0,1752905995;2,3313174248;8327,5058594000;8,9187364578;0,3275707364;360,2132873500;3,6870117188;0,1492521018;0,0000749847;0,0065654828
60,0000000000;CX;601184,0800000000;7506732,9800000000;100,0000000000;1,0000000000;1,0000000000;288,0000000000;487,9336853000;263,0000000000;3,0000000000;835,0000000000;1673,0000000000;0,7283057571;0,3693895042;177,5536696911;0,3049308062;1,6892811060;1253,7775879000;4,3640723228;4,9159049988;393,5794982900;94,3541870120;0,7979636788;0,0030355856;0,0095612956
61,0000000000;LVA;603228,7000000000;7507747,5100000000;135,0000000000;1,0000000000;3,0000000000;453,0000000000;413,3742065400;334,0000000000;3,0000000000;1100,0000000000;2452,0000000000;0,7602297068;0,5333891511;177,9102716446;0,4080400765;3,7588217258;1415,8879395000;4,2518014908;8,1622619629;363,8424377400;49,5317687990;0,6491113901;-0,0012434006;0,0073571294
